question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
What triggers the dissociation of oxygen from hemoglobin in metabolically active tissues?,High pH and low temperature,Low pH and high CO2 concentration (Bohr effect),Low CO2 concentration and low temperature,High oxygen partial pressure,B,Biology,Medium
Which digestive hormone stimulates the gallbladder to release bile?,Gastrin,Secretin,Cholecystokinin (CCK),Pepsin,C,Biology,Medium
What is the function of the lacteals within the intestinal villi?,Absorb amino acids,Absorb dietary fats and fat-soluble vitamins,Produce digestive enzymes,Reabsorb water,B,Biology,Medium
Which segment of the nephron is primarily responsible for the reabsorption of glucose and amino acids?,Distal convoluted tubule,Proximal convoluted tubule,Descending limb of the Loop of Henle,Collecting duct,B,Biology,Medium
How do the kidneys help regulate blood pH?,By secreting hormones like erythropoietin,By regulating the excretion of hydrogen ions and reabsorption of bicarbonate,By synthesizing urea,By adjusting the heart rate,B,Biology,Medium
"Which gland produces calcitonin, a hormone involved in calcium regulation?",Parathyroid gland,Thyroid gland,Adrenal cortex,Pineal gland,B,Biology,Medium
What distinguishes steroid hormones from peptide hormones in terms of cellular action?,Steroid hormones bind to surface receptors and use secondary messengers,Steroid hormones pass through the cell membrane and bind to intracellular receptors,Steroid hormones are dissolved directly in the blood plasma,Steroid hormones only act on the liver,B,Biology,Medium
What type of immune cell destroys infected host cells by inducing apoptosis?,B cell,Macrophage,Cytotoxic T cell (CD8+),Helper T cell (CD4+),C,Biology,Medium
Which antibody isotype is typically the first produced during a primary immune response?,IgG,IgA,IgM,IgE,C,Biology,Medium
What acts as the primary reservoir for calcium ions in skeletal muscle cells?,Golgi apparatus,Nucleus,Sarcoplasmic reticulum,Mitochondria,C,Biology,Medium
Which protein covers the myosin-binding sites on actin in a resting muscle?,Troponin,Tropomyosin,Titin,Myoglobin,B,Biology,Medium
What characterizes a mutualistic relationship between mycorrhizal fungi and plant roots?,The fungus provides water and minerals; the plant provides carbohydrates,The fungus extracts nutrients without providing benefits,Both compete for the same soil resources,The fungus protects the plant from herbivores via toxins only,A,Biology,Medium
Which process describes the accumulation of toxins in an organism over its lifetime?,Biomagnification,Bioaccumulation,Eutrophication,Bioremediation,B,Biology,Medium
What is allopatric speciation?,Speciation without geographic isolation,Speciation due to a geographic barrier separating populations,Evolution of a new species due to polyploidy,Speciation resulting exclusively from sexual selection,B,Biology,Medium
What evidence best supports the endosymbiotic theory of organelle evolution?,Mitochondria and chloroplasts have their own circular DNA and ribosomes similar to bacteria,Eukaryotic cells are larger than prokaryotic cells,All cells possess a cell membrane,The nucleus contains linear DNA,A,Biology,Medium
What happens to the rate of transpiration when humidity increases?,It increases rapidly,It remains constant,It decreases,It fluctuates randomly,C,Biology,Medium
What is the Hardy-Weinberg equilibrium principle primarily used to determine?,The mutation rate of a gene,Whether a population is evolving,The exact lifespan of an organism,The carrying capacity of an ecosystem,B,Biology,Medium
"If a somatic cell of an organism contains 32 chromosomes, how many chromatids will be present in a cell at metaphase of mitosis?",16,32,64,128,C,Biology,Hard
A woman with blood type AB and a man with blood type O have a child. What are the possible blood types for the child?,Only type AB,Only type O,Type A or Type B,"Type A, B, AB, or O",C,Biology,Hard
"During DNA replication, which enzyme synthesizes the RNA primers required for DNA polymerase to initiate replication?",DNA ligase,Helicase,DNA polymerase I,Primase,D,Biology,Hard
What is the precise biochemical outcome of non-cyclic photophosphorylation in the light-dependent reactions?,Production of ATP and NADH,"Production of ATP, NADPH, and O2",Production of sugar from CO2,Generation of FADH2 and ATP,B,Biology,Hard
"In cellular respiration, for every molecule of glucose, how many molecules of CO2 are released exclusively during the Krebs cycle?",2,4,6,8,B,Biology,Hard
An uncompetitive inhibitor binds to what specific configuration?,The free enzyme's active site,The free enzyme's allosteric site,The enzyme-substrate complex,The product of the reaction,C,Biology,Hard
Which of the following is true regarding the sodium-potassium pump?,"It moves 3 Na+ out and 2 K+ in, using one ATP","It moves 2 Na+ out and 3 K+ in, using one ATP","It moves 3 Na+ in and 2 K+ out, down a concentration gradient",It transports equal amounts of Na+ and K+ continuously,A,Biology,Hard
"In an E. coli lac operon, if a mutation alters the operator sequence so the repressor cannot bind, what will be the result?",The operon will never be transcribed,The operon will be continuously transcribed regardless of lactose presence,RNA polymerase will be unable to bind the promoter,Beta-galactosidase will become a repressor,B,Biology,Hard
"Which chromosomal abnormality results in a human possessing a 47, XXY karyotype?",Turner syndrome,Down syndrome,Klinefelter syndrome,Edwards syndrome,C,Biology,Hard
"In the countercurrent multiplier system of the loop of Henle, what is actively transported out of the thick ascending limb?",Water,Urea,Na+ and Cl- ions,Glucose,C,Biology,Hard
A patient experiences severe hypoventilation leading to elevated blood CO2. What is the immediate physiological consequence?,Respiratory alkalosis,Respiratory acidosis,Metabolic alkalosis,Metabolic acidosis,B,Biology,Hard
Which statement correctly describes the Bohr effect on the oxygen-hemoglobin dissociation curve?,"A decrease in pH shifts the curve to the left, increasing oxygen affinity","An increase in CO2 shifts the curve to the right, decreasing oxygen affinity","An increase in temperature shifts the curve to the left, increasing oxygen affinity","A decrease in CO2 shifts the curve to the right, decreasing oxygen affinity",B,Biology,Hard
What specific role does Ca2+ play in the release of neurotransmitters at a chemical synapse?,It binds to receptors on the postsynaptic membrane,It depolarizes the axon hillock,It triggers the exocytosis of synaptic vesicles containing neurotransmitter,It repolarizes the presynaptic membrane,C,Biology,Hard
"During muscle contraction, the release of ADP and inorganic phosphate from the myosin head triggers which event?",The detachment of myosin from actin,The binding of ATP to myosin,The power stroke,The unmasking of the binding sites on actin,C,Biology,Hard
Which class of immunoglobulins is primarily involved in mediating type I hypersensitivity (allergic) reactions?,IgA,IgG,IgM,IgE,D,Biology,Hard
What mechanism generates the vast diversity of antibodies produced by B cells?,Alternative splicing of mRNA transcripts,V(D)J recombination in the DNA of B cells,High mutation rates during protein synthesis,Polygenic inheritance from multiple alleles,B,Biology,Hard
"In a normal electrocardiogram (ECG), what does the QRS complex represent?",Atrial depolarization,Ventricular depolarization,Ventricular repolarization,Atrial repolarization,B,Biology,Hard
Which structural feature is unique to cardiac muscle cells and facilitates synchronized contraction?,Striations,Multinucleation,Intercalated discs with gap junctions,Lack of sarcomeres,C,Biology,Hard
Where are the cell bodies of sensory neurons carrying afferent information typically located?,Ventral horn of the spinal cord,Dorsal root ganglion,Cerebral cortex,Sympathetic chain ganglia,B,Biology,Hard
Which hormone is secreted by the embryo to maintain the corpus luteum during early pregnancy?,Human placental lactogen (hPL),Progesterone,Human chorionic gonadotropin (hCG),Estrogen,C,Biology,Hard
"In a pedigree analyzing a rare genetic disease, if two unaffected parents have an affected daughter, what is the most likely mode of inheritance?",Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,B,Biology,Hard
"If a trait is X-linked recessive, which statement is universally true?",A male must inherit the trait from his father,A female expresses the trait if she inherits one copy of the allele,An affected mother will pass the trait to all of her sons,The trait appears equally in both sexes,C,Biology,Hard
What is the exact net yield of ATP per glucose molecule during glycolysis alone?,1 ATP,2 ATP,4 ATP,36 ATP,B,Biology,Hard
Which intermediate connects the process of glycolysis to the Krebs cycle?,Pyruvate,Lactic acid,Acetyl-CoA,Oxaloacetate,C,Biology,Hard
What occurs during the initiation phase of translation in eukaryotes?,The large ribosomal subunit binds first to the mRNA,The small ribosomal subunit binds the 5' cap and scans for the AUG start codon,RNA polymerase binds the promoter region,A release factor binds the A site,B,Biology,Hard
"Which type of bonds maintain the secondary structure of RNA molecules, such as the cloverleaf shape of tRNA?",Phosphodiester bonds,Hydrogen bonds between complementary bases,Disulfide bonds,Peptide bonds,B,Biology,Hard
Which enzyme specifically relieves the torsional strain created ahead of the replication fork during DNA synthesis?,DNA helicase,DNA polymerase III,DNA primase,Topoisomerase (DNA gyrase),D,Biology,Hard
What defines an episome in bacterial genetics?,A plasmid capable of integrating into the bacterial chromosome,A viral capsid remaining outside the cell,A non-coding region of the bacterial genome,A membrane vesicle containing DNA,A,Biology,Hard
"In the context of population genetics, what does the term 'q^2' represent in the Hardy-Weinberg equation?",Frequency of the dominant allele,Frequency of the heterozygous genotype,Frequency of the homozygous recessive genotype,Frequency of the homozygous dominant genotype,C,Biology,Hard
"If 16% of a population in Hardy-Weinberg equilibrium expresses a recessive trait, what is the frequency of the dominant allele in the population?",0.84,0.40,0.60,0.36,C,Biology,Hard
Which type of natural selection is most likely to lead to speciation by splitting a single population into two distinct phenotypic groups?,Directional selection,Disruptive selection,Stabilizing selection,Balancing selection,B,Biology,Hard
What specific reproductive isolation mechanism occurs when two species of frogs mate at different times of the year?,Behavioral isolation,Temporal isolation,Mechanical isolation,Gametic isolation,B,Biology,Hard
"In plant anatomy, the Casparian strip is a waterproof band located in the:",Epidermis,Cortex,Endodermis,Pericycle,C,Biology,Hard
Which structure represents the male gametophyte in angiosperms?,The anther,The pollen grain,The microspore mother cell,The stamen,B,Biology,Hard
Double fertilization in angiosperms results in the formation of:,Two diploid zygotes,One diploid zygote and a haploid endosperm,One diploid zygote and a triploid endosperm,One haploid egg and a diploid seed coat,C,Biology,Hard
What primary force drives the movement of water upwards via the cohesion-tension theory?,Root pressure generated by active transport,Capillary action in small vessels,Negative pressure potential caused by transpiration at the leaves,Positive hydrostatic pressure in the xylem,C,Biology,Hard
"Which biochemical pathway allows plants to minimize photorespiration in hot, dry climates by physically separating carbon fixation and the Calvin cycle?",C3 pathway,C4 pathway,CAM pathway,Glycolysis,B,Biology,Hard
Which molecule acts as the primary allosteric inhibitor of phosphofructokinase-1 (PFK-1) in glycolysis?,AMP,"Fructose-2,6-bisphosphate",ATP,NAD+,C,Biology,Hard
"During beta-oxidation, fatty acids are broken down to yield sequential molecules of:",Pyruvate,Glucose,Acetyl-CoA,Lactic acid,C,Biology,Hard
What specifies the exact site where RNA polymerase initiates transcription in prokaryotes?,The Shine-Dalgarno sequence,The promoter region (such as the Pribnow box),The start codon (AUG),The origin of replication,B,Biology,Hard
Which enzyme elongates telomeres in certain cell types to prevent chromosome shortening?,"Telomerase, an RNA-dependent DNA polymerase","DNA polymerase I, a DNA-dependent DNA polymerase","Ligase, an RNA-dependent RNA polymerase","Primase, a DNA-dependent RNA polymerase",A,Biology,Hard
"In the context of the kidney, the macula densa cells monitor the concentration of which substance to regulate glomerular filtration rate?",Plasma glucose,Blood oxygen levels,Sodium chloride (NaCl) in the distal tubule,Urea in the collecting duct,C,Biology,Hard
